img_id,Front bumper,Trunk lid,Bonnet,Head lights(L),Rear bumper,Rear door(R),Front door(R),Rear fender(R),Rear fender(L),Rear lamp(R),Side mirror(R),A pillar(L),Rear door(L),Front door(L),Front fender(R),Front Wheel(L),Front Wheel(R),Rear lamp(L),Front fender(L),Rocker panel(R),Head lights(R),Rear Wheel(R),Rear Wheel(L),C pillar(L),Side mirror(L),Rocker panel(L),Windshield,C pillar(R),Rear windshield,Undercarriage,Roof,A pillar(R),B pillar(R),total_anns,ran_var,dataset
1202650_as-0047067.jpg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9942495231111749,test
1461768_as-0064225.jpg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.46332879397934335,train
0839240_as-0019659.jpg,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.7465406603210721,train
20181123110425_1763867_sc-139093.jpg,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.8170096856821808,val
2111831_as-0059999.jpg,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.7823328030371874,train
20180814165149_1557370_sc-128351.jpg,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.25252986840256264,train
20210310150315_110525_sc-1014617.jpg,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.30711317907859526,train
20180303044152_1220342_sc-109436.jpg,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5949557426090526,train
20180816074334_1562073_sc-128540.jpg,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.6543849278215363,train
0848289_as-0023260.jpg,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.7713647945128335,train
20210314232533_114744_sc-1014816.jpg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.41863987270626746,train
1447047_as-0062028.jpg,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.7778303671603756,train
0479070_as-0026433.jpg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.149983008424729,train
20190819164519_2365104_sc-171546.jpg,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.761547971846,train
20210523192101_195474_sc-1022177.jpg,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9861147140577466,test
0759554_as-0095601.jpg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.736026388519386,train
0323063_as-0086144.jpg,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.9922497615563631,test
1417045_as-0041679.jpg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.7623838346885877,train
0281153_as-0074802.jpg,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,0.7143258712679789,train
20200610073310_3018272_sc-210501.jpg,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,0.09948646382805548,train
0889722_as-0039240.jpg,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,0.808772160615067,val
20201202201511_022509_sc-1003263.jpg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9603647495366808,test
20190926012609_2453538_sc-177338.jpg,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.691518620503102,train
0097568_as-0026896.jpg,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.7320328428435301,train
20180831184727_1597482_sc-130461.jpg,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.10408850528830571,train
20201104191248_001295_sc-1000303.jpg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.13341171242292604,train
20190825071855_2359049_sc-172408.jpg,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,0.8213044469042661,val
20181003134345_1651706_sc-133994.jpg,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,0.05014036962934254,train
0782010_as-0004909.jpg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.10031863038294087,train
1010794_as-0073313.jpg,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6181918779590446,train
20210604175434_214165_sc-1025607.jpg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3399568585586372,train
20210701171032_253397_sc-1029328.jpg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.37738172633620015,train
20181016094057_1681505_sc-135297.jpg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9974302516547136,test
20200724231300_3142473_sc-216613.jpg,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6497001335961875,train
